GAME_ID,PLAYER_ID,FGM,FGA,FG3M,FG3A,PTS,PLUS_MINUS
12100004,1629629,3,7,0,3,6,-13
12100004,1629130,4,6,4,6,13,12
12100005,1627742,5,9,0,1,14,-10
12100005,1629006,3,5,2,3,9,5
12100006,202330,3,7,1,2,7,16
12100006,1629652,4,9,3,6,11,-11
12100007,1626220,1,4,0,3,3,-3
12100007,1629640,3,8,0,3,10,10
12100008,203952,5,10,2,5,13,4
12100008,1626181,5,10,2,5,13,1
12100009,1628969,1,4,0,0,2,-7
12100009,203084,7,12,4,9,18,12
12100010,1629008,9,15,3,5,23,6
12100010,1630527,3,7,1,3,10,15
12100001,1627761,2,3,0,1,8,8
12100001,203145,2,6,1,2,5,-10
42000406,1628969,3,7,0,1,7,-18
42000406,200782,0,1,0,1,0,13
42000405,200782,1,2,1,1,3,-7
42000405,1628969,5,6,3,3,13,5
42000404,1628969,3,4,1,2,7,-3
42000404,200782,0,1,0,1,0,-3
42000403,1628969,2,4,0,2,4,-1
42000403,200782,3,5,1,2,7,12
42000402,200782,3,5,1,1,7,-5
42000402,1628969,8,15,3,9,27,7
42000401,200782,3,6,1,2,7,-14
42000401,1628969,5,13,2,4,14,14
42000306,200782,2,10,1,7,5,0
42000306,1628989,2,10,1,6,5,-22
42000305,1628989,3,12,2,7,8,-12
42000305,200782,2,5,1,3,5,14
42000316,1628969,4,6,0,1,9,-2
42000316,1629611,2,7,0,3,5,-10
42000304,200782,3,7,2,5,8,-14
42000304,1628989,7,15,1,7,15,20
42000315,202331,15,20,3,6,41,14
42000315,1628969,2,5,1,2,5,-8
42000303,200782,1,3,1,2,3,1
42000303,1628989,4,11,3,7,11,9
42000314,1628969,3,6,0,0,6,3
42000314,202331,5,20,1,9,23,-5
42000302,1628989,3,10,2,5,8,-31
42000302,200782,0,1,0,1,1,32
42000313,1628969,5,8,2,5,13,-14
42000313,202331,9,26,3,11,27,23
42000301,1628989,5,12,1,6,13,15
42000301,200782,2,3,0,0,4,-2
42000312,202331,10,23,1,8,26,0
42000312,1628969,2,7,1,5,5,0
42000311,1629611,3,4,3,3,9,6
42000311,1628969,6,11,2,6,14,-6
42000207,1628989,10,18,2,4,27,8
42000207,1627788,2,6,1,5,5,5
42000217,200782,4,9,3,5,11,-4
42000217,201142,17,36,4,11,48,-4
42000206,1627788,3,9,1,5,7,-5
42000206,1628989,7,15,2,6,17,-6
